Наименование,Зарплата,Компания,Локация,Описание,Доп. инфа
Tech Lead Python разработки,от 1000000 KZT,ТОО MyCar Group,"Алматы, Алатау",Выстраивать процессы разработки. Наим сотрудников. Разработка плана развития тех. направления. Обеспечение стабильной работы системы. Контроль качества. Внутреннее тех. развитие сотрудников. Опыт работы с микросервисной архитектурой/монолитной системой. Сильный background python. Опыт работы с Django/DRF/FastAPI. Опыт работы с Celery...,ТОО MyCar Group
Product/Data Analyst (Middle),,KIVORK,Алматы,"Проверять гипотезы (формирование, тестирование, оценка результата). Составлять отчеты и анализировать динамику ключевых метрик продуктов. Разрабатывать метрики, которые помогут определять успех...Понимать, моделировать и анализировать LTV, ROI, ARPU, retention, churn и др. Опыт автоматизации процессов аналитики (Python/R). Умение проводить А...",Можно работать из дома
Python Developer,,ТОО Globerce Inc.,Алматы,"Разработка web части сайтов на Django. - Разработка REST сервисов на DRF. - Разработка async сервисов. - Разработка клиентов для работы со сторонними...Знание PEP8 и понимание для чего он нужен. — Понимание The Zen of Python. — Умение, и главное, желание создавать pythonic...",ТОО Globerce Inc.
Lead Data Analyst,,KIVORK,Алматы,"Управлять командой аналитиков данных. Управлять системами данных и обеспечивать качество и целостность данных для поддержки бизнеса. Моделировать, извлекать и анализировать...Опыт управления командой аналитиков. SQL - на продвинутом уровне. Знание Python. Опыт разработки и поддержки дашбордов с использованием BI-инструментов (Power...",Можно работать из дома
Ведущий инженер по данным,,ТОО One technologies,Алматы,"...новых объектов в DWH. Разработка ETL-пакетов для автоматизации миграции данных. Разработка DAG's и сервисов(микросервисов) с помощью Python....будет плюсом (продукты экосистемы Apache Hadoop и др.). Отличные знания: Python, SQL, NoSQL, Message brokers, BI. Опыт работы с Linux.",ТОО One technologies
Middle Python Developer for CloudLinux OS [Remote],,Cloud Linux,Алматы,"Investigating issues reported by our clients, partners or support team. Communication with our 3rd level support team to provide...3 years of experience with Python. Basic algorithms and data structures. Good knowledge of SQL. Experience in system programming for...",Можно работать из дома
ML-инженер/разработчик NLP,,"ALSECO, АО",Алматы,"Предобработка текста, классификация и кластеризация текста, выявление интентов, тематическое моделирование. Полный цикл разработки моделей: от детализации задачи и подготовки данных...Знание теоретических основ и опыт практического применения статистических моделей и методов машинного обучения. Опыт разработки на Python или R, владение...","ALSECO, АО"
Стажер DevOps,,"ТОО Epam Kazakhstan (Эпам Казахстан),ТОО",Алматы,"Средства сборки (Maven, Ant, NPM, Gradle). Мониторинговые системы (Grafana, Zabbix и др.). Системы управления конфигурациями (Ansible, Paker, Puppet и др.).Знание OC Linux/ Windows и понимание основ Networking. Владение скриптовыми языками (Bash, Python, PowerShell и др.) и умение писать базовые...","ТОО Epam Kazakhstan (Эпам Казахстан),ТОО"
Главный IT специалист,,"HALYK FINANCE, дочерняя организация АО Народный банк","Алматы, Алатау","Написание программного кода в рамках задач компании.Высшее техническое образование. Знание языка программирования общего назначения, желательно Java или Python. Желателен опыт работы с Maven/gradle.","HALYK FINANCE, дочерняя организация АО Народный банк"
Data Engineer,,АО Народный банк Казахстана,Алматы,"Опыт написания скриптов на различных языках программирования, например написание bash-скриптов в UNIX или программирование на Python. Опыт использования технологий...",АО Народный банк Казахстана
Data Scientist,,АО Банк ЦентрКредит,Алматы,"Решать бизнес-задачи с помощью анализа данных и машинного обучения. Проводить поиск, выгрузку, статистический анализ и обработку данных. Уверенное владение Python и основными ML-библиотеками (numpy, pandas, sklearn, lightgbm и т.п.). Понимание классических методов и алгоритмов машинного...",АО Банк ЦентрКредит
Python Developer,,Improvado,Алматы,"We collect data from third-party APIs. We conduct QA of this data. Let the client visualize and view this...Experience in commercial development in Python (Django) from 3 years (OOP, multithreading), ideally - experience in developing a system that works...",Improvado
Разработчик RPA (Python),,АО Народный банк Казахстана,Алматы,"Автоматизация процессов с использованием технологии Robotic Process Automation (RPA). Автоматизация тестирования. Проведение тестирования роботизированных процессов.Опыт реализации RPA процессов либо автоматизации бизнес-процессов. Опыт программирования на языках Python, СУБД PL/SQL. Опыт работы в программировании...",АО Народный банк Казахстана
Data Аналитик,,АО Aitas KZ,Алматы,"Анализ существующих процессов компании для оцифровки и автоматизации. Подключении/анализ новых источников данных. Создания ТЗ для витрин. Совместная и индивидуальная...Уверенное владение MS Office c акцентом на MS Excel, MS PowerPoint. Знание/опыт работы на Python. Знание/опыт работы с...",АО Aitas KZ
BI Аналитик,,АО Aitas KZ,Алматы,"Максимальная автоматизация работы с источниками информации, поступающими как извне, так и изнутри. Постановка задач и участие в подготовке данных/витрин...Приветствуется знание и опыт программирования на Python. Приветствуется умение использования и настройки инструментов для работы с большими массивами данных и...",АО Aitas KZ
Data Scientist,,ТОО Мобайл Телеком-Сервис (Объединенная Компания Tele2/ALTEL),Алматы,"Визуализацией данных для быстрого понимания имеющихся результатов и будущих тенденций. Формулированием гипотез по улучшению конкретных бизнес-метрик за счет изменения......реляционным и реляционным базам данных (Oracle). Владение Git. Владение инструментами анализа данных, библиотеками машинного обучения на языке Python. Желание учиться.",ТОО Мобайл Телеком-Сервис (Объединенная Компания Tele2/ALTEL)
Python разработчик,,"АО Банк Хоум Кредит, ДБ АО",Алматы,"Разработка и поддержка чат решений на базе искусственного интеллекта. Разработка и поддержка чат ботов на базе Mluvii и Telegram. Знание Python, Oracle SQL, PL SQL. Опыт работы с веб сервисами (Rest, SOAP). Понимание принципов работы NLP, NLU, DS&ML.","АО Банк Хоум Кредит, ДБ АО"
Python разработчик,,"Bank RBK, АО",Алматы,"Команда и процессы: Гибкие методологии (Scrum или Kanban). CI CD автоматизированы. Совместная работа с беклогом, Unit tests, code review и...Опыт создания приложений и разработки API на Python, используя веб-фреймворки и библиотеки (Django или Asyncio /FastAPI и др.).","Bank RBK, АО"
Data Engineer,,ТОО Мобайл Телеком-Сервис (Объединенная Компания Tele2/ALTEL),Алматы,"Реализация обмена данными в гетерогенных средах средствами python/Airflow. Поддержание документации по процессам ETL/ELT, сущностям и объектам DWH в......M строк в запросе). Отличные коммуникативные навыки. Желательно опыт работы с Airflow. Опыт реализации высокопроизводительного извлечения/загрузки данных средствами python.",ТОО Мобайл Телеком-Сервис (Объединенная Компания Tele2/ALTEL)
Data Analyst в направление Data Office,,ТОО Мобайл Телеком-Сервис (Объединенная Компания Tele2/ALTEL),Алматы,"Анализировать экономический потенциал новых сервисов и продуктов. Продумывать структуру метрик для оценки различных инициатив и проектов. Разрабатывать сложные или быстрые...Опыт в аналитике от 1 года. SQL и Python - уверенное владение. A/B тесты: знание статистики, лежащей в основе(методы...",ТОО Мобайл Телеком-Сервис (Объединенная Компания Tele2/ALTEL)
Эксперт по анализу BI,,"Beeline, ТМ",Алматы,"Разработка автоматизации процессов сборки, обработки данных посредством Python. Решение инцидентов по отклонениям и расхождениям данных в рамках процессов поддержки, устранение...Практический опыт работы с ETL/ELT инструментами (опционально). Знание SQL выше среднего. Знание Python (опционально). Опыт в разработке и формированию...","Beeline, ТМ"
Python Developer,,Andersen,Алматы,Must-haves: Commercial experience in development using Python for 3 years. Knowledge of and experience with Django framework.,Andersen
Team Lead Python разработки,,ТОО MyCar Group,"Алматы, Алатау","Управление командой из 5 python разработчиков. Разработка архитектуры проекта, решение самых сложных багов. Помощь в организации работы с инцидентами на...Опыт промышленной разработки на Python от 5 лет, знание экосистемы языка, Pythonic Code. Хорошее знание паттернов проектирования, структур данных и...",ТОО MyCar Group
