Наименование,Зарплата,Компания,Локация,Описание,Доп. инфа
Senior C Developer for popular open source projects,,Cloud Linux,Алматы,"Work on various open-source projects like Apache httpd, Python, OpenSSL, etc. Backport security and bug fixes from newer upstream...You have experience with git-based development processes. Python, Perl or other scripting language knowledge will be a...",Можно работать из дома
Senior Backend developer (Remote),3000 – 4500 USD,ООО РОДЖИИ ЕВРОПА,Алматы,"Разработка облачного сервиса для компании Роджии. Участие в проектировании и разработке смежных компонент (облачные модули, вычислительные модули, графика и др.).Знание Spring. Отличное знание одного из языков программирования: C, Python, C#, Kotlin, Javascript. Знание ORM. Опыт миграций БД.",Можно работать из дома
Intern/Business Analyst – IT Audit Group – Risk Advisory,,"Deloitte, Caspian Region","Алматы, Абая","Assist in analysis large amounts of financial data using modern data analytics tools. Assist in obtaining an understanding of the...Experience working with analytics and data management platforms such as Power BI, Tableau, Qlik, Python, R or SQL.","Deloitte, Caspian Region"
Веб-разработчик (веб-программист),от 400000 KZT,ТОО SMARTNET,Алматы,"...прочие web-инфосистемы SMARTNET). Работы со скриптами, написанные на PHP, Bash и Python. Веб-разработка и поддержка сайтов нашей компании.Обеспечение полного цикла собственной разработки бизнес-процессов в Bitrix24 и дальнейшего технического обслуживания (оценка, разработка, тестирование, поддержка, обучение).",ТОО SMARTNET
Senior System Engineer (Admins Team),от 3300 USD,Semrush,Алматы,"Они кросс-функциональны и сами отвечают за свой продукт. Пишут на Python, Java, Go. Приложения деплоят через Gitlab и мониторят...OS: Debian. IaC: Terraform, Ansible, Puppet, Packer. Databases: PostgreSQL, MySQL, ClickHouse, MongoDB, Redis. Уметь всё-всё необязательно. Понимаем, что можно...",Можно работать из дома
"Data Developer with Matillion Experience, Stock Exchange",,DataArt,Алматы,"CLIENT. This London-based client is one of the world's most established stock exchanges. DataArt is working with multiple...Java 1.7-1.8, Maven, Spring Boot/Security/Data/etc Git (BitBucket); database part: Snowflake, AWS, Matillion, Python; UI...",DataArt
Senior Support Engineer - CloudLinux Specialized Team [Remote],,Cloud Linux,Алматы,"Give world-class support to worldwide customers. Work closely with developers, troubleshooting, bug-fixing, and issue-tracking. Engage directly with...Excellent written English and we’ll help you improve it. Basic knowledge of Python to debug CloudLinux components with more...",Можно работать из дома
"DevOps Engineer (AWS, Kubernetes), Financial Analytics System",,DataArt,Алматы,"Experience with container networking on Docker. Experience with application deployment by using CI/CD.Experience with AWS services (EC2, VPC, CloudWatch, CloudFront, Lambda). Experience in Python scripting for automation and administration tools.",DataArt
Middle AWS/C# developer (Fraud Control Team),,Access Softek (ИП Гурфинг Михаил Григорьевич),Алматы,"Writing high-quality code with sufficient test coverage. Creating automated unit and integration tests for verifying proper service behavior. Full-stack development experience (C#, MSSQL, ASP.NET, Redis, RabbitMQ, TypeScript/JavaScript, React, etc). Any Java/Scala/Python experience.",Можно работать из дома
Frontend Developer (Angular) в FinTech,до 2000000 KZT,evrone.ru,Алматы,"Из ближайших задач - это проектирование и реализация юзер-интерфейсов во внутренних инструментах и библиотеках. Проектирование технический интерфейсов, разработка SPA и...Cтек проекта: Angular7, Typescript, JavaScript, HTML5, CSS3. Мы хотим видеть в вас: Вы работали с JS-фреймворками...",evrone.ru
"BI Consultant, Accounting Advisory Services, Consulting",,ТОО KPMG,Алматы,"In-charge role/assisting in project management/execution. Quality control of all deliverables prepared by engagement team.Knowledge of PL / pgSQL, Redis, Apache Kafka. Experience in Python development, knowledge of the Django framework. Experience in developing REST...",ТОО KPMG
Intern/Consultant 1 – Financial Risk Management – Risk Advisory,,"Deloitte, Caspian Region","Алматы, Абая","Development of Expected Credit Loss models for different asset types and advising on credit risk policies. Applying mathematical and statistical...Willingness to acquire professional certifications such as FRM, CFA, and actuarial certifications. Good knowledge of Excel, R/Python is an...","Deloitte, Caspian Region"
IAM specialist,,inDriver,Алматы,"Администрирование систем управления идентификацией и аутентификацией. Своевременная создание и отключение учетных записей пользователей и разрешений на доступ. Выявление рисков и...Понимание принципов построение частных и публичных “облачных” инфраструктурных решений (IaaS, PaaS, Saas и др.). Опыт разработки скриптов на Python, PowerShell...",inDriver
Senior Consultant – Financial Risk Management – Risk Advisory,,"Deloitte, Caspian Region","Алматы, Абая","Mentoring and supervising the work of junior staff. Analysing and keeping track of the regulatory changes in risk management. Graduates preferably in Finance / Economic / Accounting. Good knowledge of Excel, R/Python. Competence in modeling and forecasting. Good understanding of...","Deloitte, Caspian Region"
Middle/Senior Go Developer,,DataArt,Алматы,"CLIENT. Our client provides process automation, increasing process reliability, deployment velocity, development velocity and quality. TEAM. The project team consists...3 (4 for Senior level position) years of development experience with Go 1.18. Understanding Go's concurrency mechanisms.",Можно работать из дома
Full-Stack Developer (Technology Consulting),,ТОО KPMG,Алматы,"Participation in development of required applications and tools, i.e. internal tools, enablers, client products. Participation in consulting projects as...Preferrable technical track of records: C#, .NET, SQL, JavaScript, Angular JS, Python. Understanding of basic secure development principles.",ТОО KPMG
Technical Solutions Engineer (Almaty/Nur - Sultan),,ТОО МЕДИАМОНКС КАЗАХСТАН,Алматы,"Build innovative tools on top of advertising and analytics platforms to enhance the capabilities of our account management and specialist...Bachelor’s degree in Computer Science, Software Engineering, IT or equivalent with 1-2 years of experience in web-based...",ТОО МЕДИАМОНКС КАЗАХСТАН
DevOPS engineer (SRE),,ООО РОДЖИИ ЕВРОПА,Алматы,"Создание и поддержка инфраструктуры разработки, CI/CD, мониторинг, ведение логов, администрирование БД, организация бэкапов. Настройка и развёртывание тестовых стендов. Опыт работы с cms (ansible). Опыт работы с AWS. Опыт разработки скриптов (python, bash, go, др.). Опыт администрирования баз данных...",ООО РОДЖИИ ЕВРОПА
Programming Team Lead (С++),,Playrix,Алматы,"Управление командой С программистов (организация, координация, обучение, развитие, оценка результатов работы). Участие в процессе найма и адаптации сотрудников. Опыт работы в игровой индустрии (желательно от 3-х лет). Опыт разработки на С от 3-х лет.",Можно работать из дома
Старший аналитик в управление по риск инновациям,,"АО Банк Хоум Кредит, ДБ АО",Алматы,"Осуществлять анализ данных и программирование на SQL, PL/SQL. Мониторинг производительности скоринговых моделей (PSI). Осуществлять мониторинг системы одобрения кредитных заявок. Отличное знание MS Office, сводных таблиц Excel, Tableau Desktop/Server, PowerBI. Английский выше среднего. Навыки программирования в PL SQL, Python...","АО Банк Хоум Кредит, ДБ АО"
Специалист по поддержке корпоративных приложений,,ТОО EY (Ernst & Young),Алматы,"Содействовать бесперебойной работе серверов и корпоративных бизнес-приложений. Обеспечивать стабильный доступ к информации. Проводить работы по расследованию приоритетных инцидентов, анализировать...Умение писать скрипты на разных языках программирования (PowerShell\Python) для усовершенствования систем мониторинга и автоматизации. Опыт работы с Zabbix, AppDynamics...",ТОО EY (Ernst & Young)
Главный тестировщик,,"Евразийский банк, АО",Алматы,"Составление плана тестирования. Разработка тестовых артефактов. Проведение мануального тестирования АБИС. Работа с БД Oracle (на уровне опытного пользователя). Знание баг-трекинговых систем линейки Atlassian (Jira, Confluence). Базовые знание Python, JS, VBS. Навыки автоматизации процессов тестирования. Навыки работы с...","Евразийский банк, АО"
Ведущий менеджер Управления развития Colvir Департамента Информационных Технологий,,АО Жилищный строительный сберегательный банк Отбасы банк,Алматы,"Уверенное знание английского языка (чтение технических текстов). Хорошее знание Python, объектноориентированное программирование, структуры данных, алгоритмы. Базовое знание HTML, JS, REST...",АО Жилищный строительный сберегательный банк Отбасы банк
Бэк-енд разработчик,,АО Сәтті Жұлдыз,Алматы,"Поддержка текущей функциональности и разработка новой(будет много). Автоматизация работы бэк-офиса и запуск новых продуктов. Интеграция с системами и...Работа с базами данных (SQL, NoSQL). Опыт работы с Rest API, nginx, git, unix. Навыки работы с Python, PHP.",АО Сәтті Жұлдыз
Руководитель направления коллекшн-скоринга/Soft Collection,,АО Банк ЦентрКредит,Алматы,"Разработка коллекшн моделей (Collection Scoring). Разработка стратегий и процесса обзвона. Разработка и трансформация процесса взыскания Soft Collection. Разработка и автоматизация...Знание процесса Skip Tracing. Знание процесса Anti-Fraud. Анализ эффективности взыскания. Знание SAS Base/Miner/Guide, Python, Delta M, ML.",АО Банк ЦентрКредит
Frontend-разработчик,,АО Сәтті Жұлдыз,Алматы,"Разработка интерфейса продуктов, в том числе экспериментальных/нестандартных UI. Кроссбраузерная и кроссплатформенная адаптивная верстка. Работа в команде с дизайнерами и...HTML, CSS, JavaScript. Bootstrap, jQwery, React, XML, Json. Webpack. Навыки в области бэкенда (PHP/Python). Знание Английского языка будет преимуществом.",АО Сәтті Жұлдыз
Golang Developer,,АО Народный банк Казахстана,Алматы,"Опыт разработки сервисов и приложений использованием: C# (.NET Core) / GoLang / Python. Опыт работы с реляционными БД (Oracle, PostgreSQL, MSSQL).",АО Народный банк Казахстана
Главный менеджер Управления розничных кредитных рисков,,АО Altyn Bank,Алматы,"Разработка скоринговых карт, мониторинг скоринговых карт и анализ эффективности их работы. Подготовка аналитических исследований по кредитным продуктам в части рисковой......анализа данных, построения математических моделей. Навыки работы с базами данных и написание сложных SQL-запросов. Опыт работы с SAS, Python..",АО Altyn Bank
Intern in Risk group (Consulting group),,ТОО EY (Ernst & Young),Алматы,"Построение систем управления рисками (в том числе финансовыми) клиента. Количественная оценка кредитного и рыночного риска. Разработка и валидация рейтинговых/скоринговых...К вашим преимуществам будет относиться: Навыки программирования в VBA, C/C, R, Python, SAS, SQL. Прикладные статистические программы (EViews, Stata...",ТОО EY (Ernst & Young)
Full Stack Web Разработчик,300000 – 400000 KZT,ТОО One Corporated,"Алматы, Байконур","Разработка сайтов: лендинги, корпоративные, интернет-магазины. Разработка веб-приложений. Иногда подключаться к разработке CRM/ERP, реестров.HTML, CSS, JS (фреймворки JS плюсом), Json, Bootstrap, PHP, Python. Стоит учесть, что необязательно знать PHP и Python одновременно ).",ТОО One Corporated
Супервайзер по отчетности,,ТОО PepsiCo Kazakhstan,Алматы,"Разработка и тестирование аналитических инструментов (SAP BI/BO; Power BI; Power Query, Python-скрипты, VBA) для автоматизации процесса предоставления отчетов. Высшее образование (предпочтительно информационные технологии, математика). Аналогичный опыт работы: 2-3 года. Опыт управления командой. Понимание общих принципов построение аналитической...",ТОО PepsiCo Kazakhstan
Эксперт в группу рисков (депртамент консалтинга),,ТОО EY (Ernst & Young),Алматы,"Построение систем управления рисками (в том числе финансовыми) клиента. Количественная оценка кредитного и рыночного риска. Разработка и валидация рейтинговых/скоринговых...К вашим преимуществам будет относиться: Навыки программирования в VBA, C/C, R, Python, SAS, SQL. Прикладные статистические программы (EViews, Stata...",ТОО EY (Ernst & Young)
Backend-разработчик Middle,,ТОО Орион Система,"Алматы, Жибек Жолы","Разработка высокопроизводительных серверных приложений.Уверенное владение Python 3, SQL. Знание структур данных и алгоритмов. Знание Web Framework (Django, или Fast API, либо Flash, и...",ТОО Орион Система
Fullstack разработчик,,ТОО Орион Система,"Алматы, Жибек Жолы","Разработка новых и улучшение существующих веб-сервисов. Активное участие в процессе разработки.Уверенное владение Python 3, SQL, Asyncio. Знание структур данных и алгоритмов. Знание Web Framework (Django, или Fast API, Flask, и...",ТОО Орион Система
Database Administrator (Greenplum & PostgreSQL),,ТОО УМНЫЕ ГОРОДА,Алматы,"Поддержка текущих инсталляций DBMS (monitoring, maintenance, etc). Ввод в эксплуатацию новых сегментов Greenplum инстансов Postgresql.Опыт работы с Ansible. Опыт автоматизации работы с помощью Bash/Python. Знание PL/pgSQL. Опыт работы с Kubernetes и Helm.",Можно работать из дома
Senior SysOps Engineer,,Playrix,Алматы,"Наша команда занимается обслуживанием внутренней серверной и сетевой инфраструктуры компании, обеспечением надежной и бесперебойной работы её ресурсов. Администрирование серверов на...Автоматизация процессов администрирования, написание скриптов на bash и powershell. Навыки работы с Python (скрипты автоматизации). Навыки автоматизации разворачивания инфраструктуры (SaltStack...",Playrix
Data Integration Engineer,,"ТОО Epam Kazakhstan (Эпам Казахстан),ТОО",Алматы,"Designing and implementing Data Integration solutions, modeling databases, and contribute to building enterprise data platforms using classic Data technologies and...Experience of coding with on one of the data-oriented programming languages: SQL, Python, SparkSQL, PySpark, R, Bash, Scala.","ТОО Epam Kazakhstan (Эпам Казахстан),ТОО"
Team lead отдела управления данными,,ТОО Микрофинансовая организация KMF(КМФ),"Алматы, Жибек Жолы","Эффективно исполнять роль бизнес-владельца КХД (product owner), планировать развитие КХД в части покрытия текущего и будущего спроса на оперативную...6) умение работать с данными в специализированных ПО приветствуется (MS SQL Management Studio, Tableau, Power BI, Python, R, Eviews и...",ТОО Микрофинансовая организация KMF(КМФ)
Ведущий разработчик Департамента развития и поддержки информационных систем,,АО Жилищный строительный сберегательный банк Отбасы банк,Алматы,"Разработка и сопровождение модулей АБИС Colvir. Разработка Базы данных на СУБД Oracle. Оптимизация запросов в ORACLE....написания больших сложносоставных запросов и процедур, пакетов. Желательные дополнительные навыки: Опыт работы с банковским ПО. Знание языков программирования (Python, Java).",АО Жилищный строительный сберегательный банк Отбасы банк
Technical support specialist ( Instrument Support),от 1000 EUR,EXANTE,Алматы,"Работа над созданием обширной экспертизы в нашем продукте (набор приложений для трейдинга и обширная бекенд часть, обеспечивающая их работу). Понимание устройства финансовых рынков и интерес в данной области. Начальные навыки автоматизации (Python, Bash, работа c REST API).",Можно работать из дома
"Junior / Senior Consultant, Data Sciencist, Technology Consulting Group",,ТОО KPMG,Алматы,"Experience applying advanced analytical techniques to large and varied data sets, generated and flowing at a rapid rate. A combination of one or more of the following (proficient with programming languages like Python, R, Scala, Java, C; skills...",ТОО KPMG
Главный Специалист (Риск-оунер),,АО Банк ЦентрКредит,Алматы,"Составление, сбор и предоставление регулярной отчетности. Подготовка, сбор и предоставление данных. Проведение точечной аналитики по запросу. Процессный анализ и мониторинг...Языки программирования по работе с базами данных (PL/SQL, Python, парсинг форматов XML/JSON). Excel (уверенный пользователь). Знание законодательных и...",АО Банк ЦентрКредит
IT Team Lead / Руководитель группы разработки,,Playrix,Алматы,"Наш отдел занимается разработкой и поддержкой программных продуктов для извлечения, трансформации, выгрузки и анализа данных. На этой позиции вам предстоит...Опыт управления кросс-функциональной командой от 4 лет (6 человек). Опыт построения процессов разработки под специфику продукта. Навыки работы в...",Можно работать из дома
Senior Salesforce Developer,,DataArt,Алматы,КЛИЕНТ. The project is an enterprise SaaS solution that specialises in life and health insurance. Client partners with top-rated...ОСОБЕННОСТИ ПРОЕКТА. ОСОБЕННОСТИ ПОЗИЦИИ. 4 years of development experience with the Salesforce platform. Technical expertise in integrating third-party apps...,Можно работать из дома
Full Stack Developer (Front End),,Частная компания Quantdart Fintech Limited,Алматы,"Play key roles in the design, architect, development and deployment of web and mobile products. Develop mobile application based on...Experience with server-side technologies (e.g. Node.js, Python, Java, MySQL, NoSQL databases). Knowledge of client-side languages (e.g...",Частная компания Quantdart Fintech Limited
"Data Engineer (Azure), Asset Management Solutions",,DataArt,Алматы,"The main technologies are — Azure Data Platform (Azure SQL, Azure Data Factory, Azure Storage, Azure Functions); Python/Scala. Experience building batch and micro-batch data pipelines; ETL design, implementation, and maintenance. Experience in writing Python code.",Можно работать из дома
"Senior Data Engineer, Health Insurance Startup",,DataArt,Алматы,"КЛИЕНТ. Design and implement platform services, frameworks, and data workflows for data scientists, ML Engineers, and operational teams. 3-5 years of experience as a Python Developer in a production environment. Expert knowledge of Python and related frameworks...",DataArt
"Senior Data Engineer, Online Genealogy Servicer",,DataArt,Алматы,Client: PROJECT FEATURES: The team employs pair/mob programming and DevOps practices; works together in a shared online space (e...Experience in SQL databases and managing large amounts of data. Comfortable working with Linux/Unix terminals. Good knowledge of multiple...,Можно работать из дома
Data Analyst,,Improvado,Алматы,"Deep diving into the customer's business, their marketing tools, data structure, DWHs, etc. Researching and testing 3rd-party...You are a BI tools expert (Tableau, Google Data Studio, etc). Experience in working with DBT. Python coding skills.",Improvado
Эксперт-разработчик Oracle,,"Евразийский банк, АО",Алматы,"Разработка банковских продуктов на базе Oracle (PL/SQL). Осуществление внедрения и дальнейшее сопровождения модулей АБИС, отвечающие за кредитные, депозитные и...Опыт использования системы контроля версий Git. Опыт разработки на одном из языков программирования общего назначения (C#, Java, Python).","Евразийский банк, АО"
Аналитик - макроэкономист,,АО Jusan Bank,Алматы,"Подготовка периодических обзоров, инфографики и иных информационно-аналитических материалов. Подготовка комментариев по значимым событиям в мировой экономике и экономике Казахстана. ...знание статистических программ и платформ, а также языков программирования R/Python. Умение работать с локальными и международными источниками статистической информации...",АО Jusan Bank
Middle аналитик (DWH),,ТОО Микрофинансовая организация KMF(КМФ),"Алматы, Жибек Жолы",1) Бизнес аналитика: - Анализ и консолидирование требований к составу и формату данных/отчетов от бизнеса. - Сопровождение бизнес-документации хранилища данных. - 1) навыки работы с требованиями (бизнеса) на всех этапах их жизненного цикла (от выявления и анализа до управления требованиями).,ТОО Микрофинансовая организация KMF(КМФ)
Разработчик Back end,,"ALSECO, АО","Алматы, Драмтеатр имени Ауэзова","Разработка голосового помощника и чат-бота с ИИ. Выстраивание архитектуры ML-сервиса. Разработка алгоритмов для ML-моделей.Опыт разработки на Python, Java от 3 лет. Опыт работы с реляционными и не реляционными БД (PostgreSQL, MS SQL Server...","ALSECO, АО"
Senior/Middle strong Java разработчик,,"АО Банк Хоум Кредит, ДБ АО",Алматы,Участие в поддержке и развитии компонентов банковской core системы по кредитованию физических лиц (именно в части процесса одобрения). Опыт работы c Java от 1-1.5 года в качестве Java backend или full-stack разработчика. Опыт работы с...,"АО Банк Хоум Кредит, ДБ АО"
Senior DevOps (Remote),6000 – 7000 USD,PION Studio,Алматы,"Work closely with a strong team of experts and help them build a well designed, resilient, compliant and performant SaaS...Experience developing enterprise grade SaaS products.  Hands-on experience with backend technologies - python, Golang, node.js.  Coding background.  Good documentation and...",PION Studio
Associate / Intern to Data Analytics (Almaty),,PricewaterhouseCoopers,Алматы,"Process and analyse various types of data. Build dashboards in Tableau and Power BI. Prepare infographics, presentations and technical assignments.Advanced Excel skills: (Vlookup, Sumifs, Pivot Tables etc.). Proficiency in SQL, Python, VBA will be a great plus.",PricewaterhouseCoopers
Главный специалист Сектора аналитики и моделирования Блок риск-менеджмент,,"Евразийский банк, АО",Алматы,"Построение скоринговых карт. Автоматизация и поддержка мониторинговой отчетности. Валидация / бэк тестирование / рекалибровка скоринговых моделей. Валидация внешних источников данных. Продвинутый опыт в написании SQL запросов ( запросы, аналитические функции). Опыт программирования на Python , SaS,R,SPSS. SAS Miner.","Евразийский банк, АО"
Старший эксперт по анализу BI,,"Beeline, ТМ",Алматы,"Работа по инцидентам, связанным с закрытием дня, недели или месяца. Анализ в рамках запросов на разработку новых или доработку существующих......трансформации и агрегации данных. Знание SQL обязательно (уровень выше среднего), Python (начальный уровень). Опыт написания технической документации в рамках сдачи...","Beeline, ТМ"
"Senior Programmer, Game (C++ / Ведущий программист C++)",,Playrix,Алматы,"Проектирование и ревью архитектуры фич. Программирование игровых механик и логики. Менторство, Code Review. Профилирование и оптимизация игры по памяти и...Будет здорово, если вы: Имеете опыт мобильной разработки. Имеете опыт работы с компьютерной графикой, опыт разработки на Python, Lua или...",Можно работать из дома
ИТ-Инженер,,"Small, ТМ (Скиф Сауда, ТОО)",Алматы,"Проектирование и построение ИТ-архитектуры. Управление системой виртуализации на базе HV и oVirt. Внедрение орекстрации на базе Saltstack, Asible и...Log Management - Graylog, ELK/EFK. Script - Bash, Python (желательно), PowerShell(желательно). Web - Nginx, Apache, PHP-FPM. Mail - Postfix, Dovecot, Zimbra...","Small, ТМ (Скиф Сауда, ТОО)"
Ведущий администратор систем биллинга,,ТОО Мобайл Телеком-Сервис (Объединенная Компания Tele2/ALTEL),Алматы,"Осуществлять администрирование программных приложений биллинговой системы и других, связанных с ней систем. Обеспечивать 2-ой уровень поддержки. Выполнять регулярные операции...Не менее 3 лет опыта работы в IT. Опыт работы с СУБД: ORACLE, PL/SQL; Администрирование Windows server, программирование Python...",ТОО Мобайл Телеком-Сервис (Объединенная Компания Tele2/ALTEL)
Финансовый аналитик,,Chocofamily,Алматы,"Комплексный финансовый анализ деятельности компании, объяснение причин отклонений, подготовка различных отчетов. Детальная аналитика статей доходов и затрат, оценка эффективности маркетинговых...Продвинутый пользователь MS Excel, 1C; Бухгалтерия 8. Знание MySQL, Visual Basic, Python приветствуются. Знание основных маркетинговых коэффициентов (CAC, CLTV...",Chocofamily
Senior RPA developer,,ТОО Мобайл Телеком-Сервис (Объединенная Компания Tele2/ALTEL),Алматы,"Осуществление функций входного контроля технического задания на объективность и отсутствие ошибок. Развертывание компонентов RPA, включая ботов, роботов, инструменты разработки, репозитории...Более 2 лет опыта работы с любым из языков программирования, таких как C/C, Python, VB Script, Ruby, Java, JS...",ТОО Мобайл Телеком-Сервис (Объединенная Компания Tele2/ALTEL)
Senior Software engineer,,ТОО MAGNUM. Информационные технологии/Ақпараттық технологиялар,Алматы,"Разработка и доработка информационных систем. Решение инцидентов. Участие в проектах. Мониторинг работоспособности процессов. Участие в публикации релизов и интеграционных тестированиях. Знание базовых команд OC Linux. Знание Oracle APEX. Приветствуется знание Python. Ждем, что вы отлично разбираетесь в этих вопросах: Понимание...",ТОО MAGNUM. Информационные технологии/Ақпараттық технологиялар
Senior Fullstack engineer (Remote),4800 – 5300 USD,PION Studio,Алматы,"Work closely with a strong team of experts and help them build a well designed, resilient, compliant and performant SaaS...2 years of experience with backend microservices (node.js, golang, java, python..).  Thorough understanding of React.js and its core principles, Redux...",Можно работать из дома
Инженер по решениям IoT (Telematics),,ТОО TELTONIKA (ТЕЛТОНИКА),Алматы,"Руководство сотрудниками и клиентами по использованию устройств и решений Teltonika Telematics (консультирование, проведение тренингов). Решение технических проблем. Постоянный надзор и...Наличие базовых знаний о программном обеспечении, операционных системах, серверах и языков программирования (C, C, C#, Java, Python) основы;.",ТОО TELTONIKA (ТЕЛТОНИКА)
Эксперт по отчетности (Data Office),,ТОО Мобайл Телеком-Сервис (Объединенная Компания Tele2/ALTEL),Алматы,"Выполнение полного цикла по разработке отчётности в Oracle BI (анализ ТЗ, разработка, поддержка). Формировании отчётности в установленные сроки и с...Хороший уровень использования SQL, Python и PL/SQL на начальном уровне. Опыт использования Business Intelligence платформ (Oracle BI, Power BI...",ТОО Мобайл Телеком-Сервис (Объединенная Компания Tele2/ALTEL)
Linux Middleware/Devops engineer,,"АО Банк Хоум Кредит, ДБ АО",Алматы,"Администрирование/настройка/поиск неисправностей/автоматизация развертывания/мониторинг систем и приложений, являющимися частью монолита или микросервисной архитектуры. Настройка pipelines, CI/CD...Знания системы Linux. Знание языка python(junior). Опыт работы с ansible/ansible playbooks/ansible roles. Понимание yml конфигураций, JSON, XML.","АО Банк Хоум Кредит, ДБ АО"
Продуктовый Аналитик,,ТОО Magnum E-commerce Kazakhstan,Алматы,"Поиск инсайтов в данных, позволяющих оптимизировать наши UI/UX процессы и, в будущем, ML-модели. Построение системы метрик, проведение экспериментов...Плюсом будет: Опыт работы в сфере E-Commerce. Опыт работы с большими данными. Навыки программирования на Python (Pandas, Numpy).",ТОО Magnum E-commerce Kazakhstan
QA/Test Engineer,,Binance,Алматы,"Perform continuing analysis and requirement handling. Develop and test high quality products. Drive continuous improvements of products and process. Bachelor’s degree in computer science, engineering or equivalent industry experience. 3 years of experience in QA. Experience with Java...",Можно работать из дома
Администратор Linux/ Windows,,"Кселл, АО",Алматы,"Настраивает систему мониторинга, написание скриптов (bash, perl, python).  Осуществляет администрирование пользователей (создание-удаление-модификация пользователей, изменение прав доступа и т...Желателен практический опыт программирования shell/perl/php/java/python.  Желателен практический опыт SQL/PLSQL.  Опыт настройки отказоустойчивости компонентов платформы ПО...","Кселл, АО"
PHP-разработчик,,"Кселл, АО",Алматы,"Доработка и поддержка действующей системы SAO на Yii, миграция модулей с Yii на Laravel, и с Angular на Vue. Высшее техническое образование. Стаж от 2х лет на аналогичной должности. Хорошее знание стандартов TelCo и протоколов передачи данных.","Кселл, АО"
Старший инженер опорной IP сети,,"Кселл, АО",Алматы,"Выполняет технический аудит с целью выявления эксплуатационных ошибок и неправильной настройки оборудования, которые могут повлиять на производительность сети. * Навыки в программировании (HTML, Perl, PHP, Visual Basic, Bash/Shell, Python). * Навыки работать с технической документацией международных стандартов в области...","Кселл, АО"
Ведущий администратор систем IT сети (Группа маршрутизации ИТ систем в дата-центрах),,ТОО Мобайл Телеком-Сервис (Объединенная Компания Tele2/ALTEL),Алматы,"Монтаж/демонтаж/коммутация оборудования. Ведение учета и участие в инвентаризации оборудования. Настройка и обеспечение бесперебойной работы оборудования кампусных сетей семейства...Высшее техническое образование. Опыт работы не менее 3-ех лет. Опыт работы с сетевым оборудованием Cisco Systems: Catalyst, Nexus, Firewall...",ТОО Мобайл Телеком-Сервис (Объединенная Компания Tele2/ALTEL)
Старший инженер (Отдел контроля качества сервисов и локальных решений),,ТОО Мобайл Телеком-Сервис (Объединенная Компания Tele2/ALTEL),Алматы,"Проводить ежедневный анализ сети на основе данных по статистике и жалоб, поступающих от абонентской службы. На основании анализа статистических данных...Опыт работы с системами OSS радиосети производителей оборудования радиосети. Опыт анализа сигнальных трейсов. Базовые знания Python, MySQL, PHP.",ТОО Мобайл Телеком-Сервис (Объединенная Компания Tele2/ALTEL)
Climate Change and Sustainability Services Data Analyst Staff,,ТОО EY (Ernst & Young),Алматы,"Support information intelligence, including collection, storage and processing of big arrays of data. Work as a key member of a...Familiarity with a broad base of analytics tools/applications, such as R, SQL, Python, Azure. Use of structured and unstructured...",ТОО EY (Ernst & Young)
QA инженер (backend),,Тинькофф,Алматы,"Самостоятельное проведение функционального и автоматизированного видов тестирования (в том числе анализ и тестирование требований). Работа в продуктовой команде в рамках...Знание одного или нескольких языков программирования (Java, Kotlin, Python, C#, C, Scala, Go). Знание техник тест-дизайна, опыт разработки тестовой...",Можно работать из дома
IT Recruiter / IT Рекрутер (удаленная работа),100000 – 150000 руб.,ООО Триумф-Маркетинг,Алматы,"Активный сорсинг (LinkedIn, GitHub, Хабр, Boolean Search / X-Ray). Проведение собеседований с разработчиками в Zoom на русском языке (собеседования с...Оплачиваем доступы к платформам с резюме и премиум-подписку на LinkedIn. Опыт подбора IT-специалистов от 6 месяцев.",Можно работать из дома
Разработчик бизнес-процессов/Разработчик Atlassian,250000 – 700000 KZT,Kolesa Group,Алматы,"Разработка бизнес процессов. Поддержка существующих бизнес процессов. Разработка дополнительной логики бизнес процессов путем написания кода и процедур. Интеграция BPM с...Точные следования поставленным задачам. Умение находить общий язык с людьми. Не ждать задач, а постоянно дополнять, улучшать и полностью переделывать.",Kolesa Group
SQL engineer (middle),,Improvado,Алматы,"Researching the stack of technologies related to working with data: Python / SQL. Deep dive into Modern Data Analytics Stack and......participation in development). Experience in digital marketing (Google Analytics, metrics, BI dashboards). Knowledge of Python. Completed courses in data analysis.",Improvado
Сетевой инженер / Pre-sale,,ТОО ARLAN SI,Алматы,"В Ваши обязанности будет входить работа по подбору и внедрению технических решений различного масштаба, изучение и сравнение решений различных производителей...Понимание архитектуры ETSI MANO (NFV, NFVi, VNF, CNF). Опыт автоматизации (bash, perl, python). Опыт проведения технических аудитов сетей передачи данных...",ТОО ARLAN SI
Senior QA Automation,,Improvado,Алматы,"Technical leadership of the QA/Release department. Drawing up plans for the development of testers, control and assistance in achieving......and competencies of colleagues, understanding their own development path. Experience in configuring and working with CI systems. Python development experience.",Improvado
Заместитель директора логистики по цифровизации,,"Small, ТМ (Скиф Сауда, ТОО)",Алматы,"Работа с базами данных SQL, Oracle. Работа с BI-системами. Подбирать эффективных людей в команду и мотивировать их, раскрывать потенциал. Владение/понимание/работа на языках программирования (несколько или одно из): Java, JavaScript, Python, C, C#, PHP; хороший плюс – наличие опыта...","Small, ТМ (Скиф Сауда, ТОО)"
